variant_sku,parent_sku,size,stock_qty,active
B2BRSMON-0004_S,B2BRSMON-0004,S,50,TRUE
B2BRSMON-0004_M,B2BRSMON-0004,M,50,TRUE
B2BRSMON-0004_L,B2BRSMON-0004,L,50,TRUE
B2BRSMON-0004_XL,B2BRSMON-0004,XL,50,TRUE
B2BRSMON-0004_2XL,B2BRSMON-0004,2XL,50,TRUE
B2BRSMON-0005_XS,B2BRSMON-0005,XS,50,TRUE
B2BRSMON-0005_S,B2BRSMON-0005,S,50,TRUE
B2BRSMON-0005_M,B2BRSMON-0005,M,50,TRUE
B2BRSMON-0005_L,B2BRSMON-0005,L,50,TRUE
B2BRSMON-0005_XL,B2BRSMON-0005,XL,50,TRUE
B2BRSMON-0005_2XL,B2BRSMON-0005,2XL,50,TRUE
B2BRSMON-0055_XS,B2BRSMON-0055,XS,50,TRUE
B2BRSMON-0055_S,B2BRSMON-0055,S,50,TRUE
B2BRSMON-0055_M,B2BRSMON-0055,M,50,TRUE
B2BRSMON-0055_L,B2BRSMON-0055,L,50,TRUE
B2BRSMON-0055_XL,B2BRSMON-0055,XL,50,TRUE
B2BRSMON-0055_2XL,B2BRSMON-0055,2XL,0,TRUE
B2BRSMON-0056_XS,B2BRSMON-0056,XS,50,TRUE
B2BRSMON-0056_S,B2BRSMON-0056,S,50,TRUE
B2BRSMON-0056_M,B2BRSMON-0056,M,50,TRUE
B2BRSMON-0056_L,B2BRSMON-0056,L,50,TRUE
B2BRSMON-0056_XL,B2BRSMON-0056,XL,50,TRUE
B2BRSMON-0056_2XL,B2BRSMON-0056,2XL,0,TRUE
B2BRSMON-0060_XS,B2BRSMON-0006,XS,50,TRUE
B2BRSMON-0006_S,B2BRSMON-0006,S,50,TRUE
B2BRSMON-0006_M,B2BRSMON-0006,M,50,TRUE
B2BRSMON-0006_L,B2BRSMON-0006,L,50,TRUE
B2BRSMON-0006_XL,B2BRSMON-0006,XL,50,TRUE
B2BRSMON-0006_2XL,B2BRSMON-0006,2XL,50,TRUE
B2BRSMON-0059_XS,B2BRSMON-0059,XS,50,TRUE
B2BRSMON-0059_S,B2BRSMON-0059,S,50,TRUE
B2BRSMON-0059_M,B2BRSMON-0059,M,50,TRUE
B2BRSMON-0059_L,B2BRSMON-0059,L,50,TRUE
B2BRSMON-0059_XL,B2BRSMON-0059,XL,50,TRUE
B2BRSMON-0059_2XL,B2BRSMON-0059,2XL,50,TRUE
B2BRSMON-0060_XS,B2BRSMON-0060,XS,50,TRUE
B2BRSMON-0060_S,B2BRSMON-0060,S,50,TRUE
B2BRSMON-0060_M,B2BRSMON-0060,M,50,TRUE
B2BRSMON-0060_L,B2BRSMON-0060,L,50,TRUE
B2BRSMON-0060_XL,B2BRSMON-0060,XL,50,TRUE
B2BRSMON-0060_2XL,B2BRSMON-0060,2XL,50,TRUE
B2BRSMON-0051_XS,B2BRSMON-0051,XS,50,TRUE
B2BRSMON-0051_S,B2BRSMON-0051,S,50,TRUE
B2BRSMON-0051_M,B2BRSMON-0051,M,50,TRUE
B2BRSMON-0051_L,B2BRSMON-0051,L,50,TRUE
B2BRSMON-0051_XL,B2BRSMON-0051,XL,50,TRUE
B2BRSMON-0051_2XL,B2BRSMON-0051,2XL,50,TRUE
B2BRSMON-0052_XS,B2BRSMON-0052,XS,50,TRUE
B2BRSMON-0052_S,B2BRSMON-0052,S,50,TRUE
B2BRSMON-0052_M,B2BRSMON-0052,M,50,TRUE
B2BRSMON-0052_L,B2BRSMON-0052,L,0,TRUE
B2BRSMON-0052_XL,B2BRSMON-0052,XL,50,TRUE
B2BRSMON-0052_2XL,B2BRSMON-0052,2XL,50,TRUE
B2BRSMON-0007_XS,B2BRSMON-0007,XS,50,TRUE
B2BRSMON-0007_S,B2BRSMON-0007,S,50,TRUE
B2BRSMON-0007_M,B2BRSMON-0007,M,50,TRUE
B2BRSMON-0007_L,B2BRSMON-0007,L,50,TRUE
B2BRSMON-0007_XL,B2BRSMON-0007,XL,50,TRUE
B2BRSMON-0007_2XL,B2BRSMON-0007,2XL,50,TRUE
B2BRSMON-0010_XS,B2BRSMON-0010,XS,50,TRUE
B2BRSMON-0010_S,B2BRSMON-0010,S,50,TRUE
B2BRSMON-0010_M,B2BRSMON-0010,M,50,TRUE
B2BRSMON-0010_L,B2BRSMON-0010,L,50,TRUE
B2BRSMON-0010_XL,B2BRSMON-0010,XL,50,TRUE
B2BRSMON-0010_2XL,B2BRSMON-0010,2XL,50,TRUE
B2BRSMON-0010_XS,B2BRSMON-0053,XS,50,TRUE
B2BRSMON-0053_S,B2BRSMON-0053,S,50,TRUE
B2BRSMON-0053_M,B2BRSMON-0053,M,50,TRUE
B2BRSMON-0053_L,B2BRSMON-0053,L,50,TRUE
B2BRSMON-0053_XL,B2BRSMON-0053,XL,50,TRUE
B2BRSMON-0053_2XL,B2BRSMON-0053,2XL,0,TRUE
B2BRSMON-0010_XS,B2BRSMON-0054,XS,50,TRUE
B2BRSMON-0054_S,B2BRSMON-0054,S,50,TRUE
B2BRSMON-0054_M,B2BRSMON-0054,M,50,TRUE
B2BRSMON-0054_L,B2BRSMON-0054,L,50,TRUE
B2BRSMON-0054_XL,B2BRSMON-0054,XL,50,TRUE
B2BRSMON-0054_2XL,B2BRSMON-0054,2XL,0,TRUE
B2BRSMON-0057_XS,B2BRSMON-0057,XS,50,TRUE
B2BRSMON-0057_S,B2BRSMON-0057,S,50,TRUE
B2BRSMON-0057_M,B2BRSMON-0057,M,50,TRUE
B2BRSMON-0057_L,B2BRSMON-0057,L,50,TRUE
B2BRSMON-0057_XL,B2BRSMON-0057,XL,50,TRUE
B2BRSMON-0057_2XL,B2BRSMON-0057,2XL,50,TRUE
B2BRSMON-0057_3XL,B2BRSMON-0057,3XL,50,TRUE
B2BRSMON-0058_XS,B2BRSMON-0058,XS,50,TRUE
B2BRSMON-0058_S,B2BRSMON-0058,S,50,TRUE
B2BRSMON-0058_M,B2BRSMON-0058,M,50,TRUE
B2BRSMON-0058_L,B2BRSMON-0058,L,50,TRUE
B2BRSMON-0058_XL,B2BRSMON-0058,XL,50,TRUE
B2BRSMON-0058_2XL,B2BRSMON-0058,2XL,50,TRUE
B2BRSMON-0058_3XL,B2BRSMON-0058,3XL,50,TRUE
B2BRSMON-0061_XS,B2BRSMON-0061,XS,50,TRUE
B2BRSMON-0061_S,B2BRSMON-0061,S,50,TRUE
B2BRSMON-0061_M,B2BRSMON-0061,M,50,TRUE
B2BRSMON-0061_L,B2BRSMON-0061,L,50,TRUE
B2BRSMON-0061_XL,B2BRSMON-0061,XL,50,TRUE
B2BRSMON-0061_2XL,B2BRSMON-0061,2XL,50,TRUE
B2BRSMON-0062_XS,B2BRSMON-0062,XS,50,TRUE
B2BRSMON-0062_S,B2BRSMON-0062,S,50,TRUE
B2BRSMON-0062_M,B2BRSMON-0062,M,50,TRUE
B2BRSMON-0062_L,B2BRSMON-0062,L,50,TRUE
B2BRSMON-0062_XL,B2BRSMON-0062,XL,50,TRUE
B2BRSMON-0062_2XL,B2BRSMON-0062,2XL,50,TRUE
B2BRSMON-0063_XS,B2BRSMON-0063,XS,50,TRUE
B2BRSMON-0063_S,B2BRSMON-0063,S,50,TRUE
B2BRSMON-0063_M,B2BRSMON-0063,M,50,TRUE
B2BRSMON-0063_L,B2BRSMON-0063,L,50,TRUE
B2BRSMON-0063_XL,B2BRSMON-0063,XL,50,TRUE
B2BRSMON-0063_2XL,B2BRSMON-0063,2XL,50,TRUE
B2BRSMON-0064_XS,B2BRSMON-0064,XS,50,TRUE
B2BRSMON-0064_S,B2BRSMON-0064,S,50,TRUE
B2BRSMON-0064_M,B2BRSMON-0064,M,50,TRUE
B2BRSMON-0064_L,B2BRSMON-0064,L,50,TRUE
B2BRSMON-0064_XL,B2BRSMON-0064,XL,50,TRUE
B2BRSMON-0064_2XL,B2BRSMON-0064,2XL,50,TRUE
B2BRSMON-0065_XS,B2BRSMON-0065,XS,50,TRUE
B2BRSMON-0065_S,B2BRSMON-0065,S,50,TRUE
B2BRSMON-0065_M,B2BRSMON-0065,M,50,TRUE
B2BRSMON-0065_L,B2BRSMON-0065,L,50,TRUE
B2BRSMON-0065_XL,B2BRSMON-0065,XL,50,TRUE
B2BRSMON-0065_2XL,B2BRSMON-0065,2XL,50,TRUE
B2BRSMON-0065_3XL,B2BRSMON-0065,3XL,50,TRUE
B2BRSMON-0066_XS,B2BRSMON-0066,XS,50,TRUE
B2BRSMON-0066_S,B2BRSMON-0066,S,50,TRUE
B2BRSMON-0066_M,B2BRSMON-0066,M,50,TRUE
B2BRSMON-0066_L,B2BRSMON-0066,L,50,TRUE
B2BRSMON-0066_XL,B2BRSMON-0066,XL,50,TRUE
B2BRSMON-0066_2XL,B2BRSMON-0066,2XL,50,TRUE
B2BRSMON-0066_3XL,B2BRSMON-0066,3XL,50,TRUE
B2BRSMON-0067_XS,B2BRSMON-0067,XS,50,TRUE
B2BRSMON-0067_S,B2BRSMON-0067,S,50,TRUE
B2BRSMON-0067_M,B2BRSMON-0067,M,50,TRUE
B2BRSMON-0067_L,B2BRSMON-0067,L,50,TRUE
B2BRSMON-0067_XL,B2BRSMON-0067,XL,50,TRUE
B2BRSMON-0067_2XL,B2BRSMON-0067,2XL,50,TRUE
B2BRSMON-0067_3XL,B2BRSMON-0067,3XL,50,TRUE
B2BRSMON-0080_XS,B2BRSMON-0080,XS,50,TRUE
B2BRSMON-0080_S,B2BRSMON-0080,S,50,TRUE
B2BRSMON-0080_M,B2BRSMON-0080,M,50,TRUE
B2BRSMON-0080_L,B2BRSMON-0080,L,50,TRUE
B2BRSMON-0080_XL,B2BRSMON-0080,XL,50,TRUE
B2BRSMON-0080_2XL,B2BRSMON-0080,2XL,50,TRUE
B2BRSMON-0081_XS,B2BRSMON-0081,XS,50,TRUE
B2BRSMON-0081_S,B2BRSMON-0081,S,50,TRUE
B2BRSMON-0081_M,B2BRSMON-0081,M,50,TRUE
B2BRSMON-0081_L,B2BRSMON-0081,L,50,TRUE
B2BRSMON-0081_XL,B2BRSMON-0081,XL,50,TRUE
B2BRSMON-0081_2XL,B2BRSMON-0081,2XL,50,TRUE
B2BRSMON-0082_XS,B2BRSMON-0082,XS,50,TRUE
B2BRSMON-0082_S,B2BRSMON-0082,S,50,TRUE
B2BRSMON-0082_M,B2BRSMON-0082,M,50,TRUE
B2BRSMON-0082_L,B2BRSMON-0082,L,50,TRUE
B2BRSMON-0082_XL,B2BRSMON-0082,XL,50,TRUE
B2BRSMON-0082_2XL,B2BRSMON-0082,2XL,50,TRUE
B2BRSMON-0082_3XL,B2BRSMON-0082,3XL,50,TRUE
B2BRSMON-0083_XS,B2BRSMON-0083,XS,50,TRUE
B2BRSMON-0083_S,B2BRSMON-0083,S,50,TRUE
B2BRSMON-0083_M,B2BRSMON-0083,M,50,TRUE
B2BRSMON-0083_L,B2BRSMON-0083,L,50,TRUE
B2BRSMON-0083_XL,B2BRSMON-0083,XL,50,TRUE
B2BRSMON-0083_2XL,B2BRSMON-0083,2XL,0,TRUE
B2BRSMON-0084_XS,B2BRSMON-0084,XS,50,TRUE
B2BRSMON-0084_S,B2BRSMON-0084,S,50,TRUE
B2BRSMON-0084_M,B2BRSMON-0084,M,50,TRUE
B2BRSMON-0084_L,B2BRSMON-0084,L,50,TRUE
B2BRSMON-0084_XL,B2BRSMON-0084,XL,50,TRUE
B2BRSMON-0084_2XL,B2BRSMON-0084,2XL,0,TRUE
B2BRSMON-0085_XS,B2BRSMON-0085,XS,50,TRUE
B2BRSMON-0085_S,B2BRSMON-0085,S,50,TRUE
B2BRSMON-0085_M,B2BRSMON-0085,M,50,TRUE
B2BRSMON-0085_L,B2BRSMON-0085,L,50,TRUE
B2BRSMON-0085_XL,B2BRSMON-0085,XL,50,TRUE
B2BRSMON-0085_2XL,B2BRSMON-0085,2XL,0,TRUE
B2BRSMON-0086_XS,B2BRSMON-0086,XS,50,TRUE
B2BRSMON-0086_S,B2BRSMON-0086,S,50,TRUE
B2BRSMON-0086_M,B2BRSMON-0086,M,50,TRUE
B2BRSMON-0086_L,B2BRSMON-0086,L,50,TRUE
B2BRSMON-0086_XL,B2BRSMON-0086,XL,50,TRUE
B2BRSMON-0086_2XL,B2BRSMON-0086,2XL,50,TRUE
B2BRSMON-0087_XS,B2BRSMON-0087,XS,50,TRUE
B2BRSMON-0087_S,B2BRSMON-0087,S,50,TRUE
B2BRSMON-0087_M,B2BRSMON-0087,M,50,TRUE
B2BRSMON-0087_L,B2BRSMON-0087,L,50,TRUE
B2BRSMON-0087_XL,B2BRSMON-0087,XL,50,TRUE
B2BRSMON-0087_2XL,B2BRSMON-0087,2XL,50,TRUE
B2BRSMON-0088_XS,B2BRSMON-0088,XS,50,TRUE
B2BRSMON-0088_S,B2BRSMON-0088,S,50,TRUE
B2BRSMON-0088_M,B2BRSMON-0088,M,50,TRUE
B2BRSMON-0088_L,B2BRSMON-0088,L,50,TRUE
B2BRSMON-0088_XL,B2BRSMON-0088,XL,50,TRUE
B2BRSMON-0088_2XL,B2BRSMON-0088,2XL,50,TRUE
B2BRSMON-0089_XS,B2BRSMON-0089,XS,50,TRUE
B2BRSMON-0089_S,B2BRSMON-0089,S,50,TRUE
B2BRSMON-0089_M,B2BRSMON-0089,M,50,TRUE
B2BRSMON-0089_L,B2BRSMON-0089,L,50,TRUE
B2BRSMON-0089_XL,B2BRSMON-0089,XL,50,TRUE
B2BRSMON-0089_2XL,B2BRSMON-0089,2XL,50,TRUE
B2BRSMON-0090_XS,B2BRSMON-0090,XS,50,TRUE
B2BRSMON-0090_S,B2BRSMON-0090,S,50,TRUE
B2BRSMON-0090_M,B2BRSMON-0090,M,50,TRUE
B2BRSMON-0090_L,B2BRSMON-0090,L,50,TRUE
B2BRSMON-0090_XL,B2BRSMON-0090,XL,50,TRUE
B2BRSMON-0090_2XL,B2BRSMON-0090,2XL,50,TRUE
