parent_sku,min_qty,max_qty,unit_price
B2BRSMON-0075,50,99,2090
B2BRSMON-0075,100,249,1980
B2BRSMON-0075,250,,1845
B2BRSMON-0076,25,49,3150
B2BRSMON-0076,50,99,2930
B2BRSMON-0076,100,249,2770
B2BRSMON-0076,250,,2585
B2BRSMON-0077,25,49,3150
B2BRSMON-0077,50,99,2930
B2BRSMON-0077,100,249,2770
B2BRSMON-0077,250,,2585
B2BRSMON-0078,25,49,3150
B2BRSMON-0078,50,99,2930
B2BRSMON-0078,100,249,2770
B2BRSMON-0078,250,,2585
B2BRSMON-0079,25,49,3150
B2BRSMON-0079,50,99,2930
B2BRSMON-0079,100,249,2770
B2BRSMON-0079,250,,2585
B2BRSMON-0003,25,49,350
B2BRSMON-0003,50,99,325
B2BRSMON-0003,100,249,310
B2BRSMON-0003,250,,285
B2BRSMON-0004,25,49,350
B2BRSMON-0004,50,99,325
B2BRSMON-0004,100,249,310
B2BRSMON-0004,250,,285
B2BRSMON-0005,25,49,350
B2BRSMON-0005,50,99,325
B2BRSMON-0005,100,249,310
B2BRSMON-0005,250,,285
B2BRSMON-0055,25,49,350
B2BRSMON-0055,50,99,325
B2BRSMON-0055,100,249,310
B2BRSMON-0055,250,,285
B2BRSMON-0056,25,49,350
B2BRSMON-0056,50,99,325
B2BRSMON-0056,100,249,310
B2BRSMON-0056,250,,285
B2BRSMON-0006,25,49,1050
B2BRSMON-0006,50,99,975
B2BRSMON-0006,100,249,925
B2BRSMON-0006,250,,860
B2BRSMON-0059,25,49,1050
B2BRSMON-0059,50,99,975
B2BRSMON-0059,100,249,925
B2BRSMON-0059,250,,860
B2BRSMON-0060,25,49,1050
B2BRSMON-0060,50,99,975
B2BRSMON-0060,100,249,925
B2BRSMON-0060,250,,860
B2BRSMON-0051,25,49,650
B2BRSMON-0051,50,99,605
B2BRSMON-0051,100,249,570
B2BRSMON-0051,250,,535
B2BRSMON-0052,25,49,650
B2BRSMON-0052,50,99,605
B2BRSMON-0052,100,249,570
B2BRSMON-0052,250,,535
B2BRSMON-0007,25,49,650
B2BRSMON-0007,50,99,605
B2BRSMON-0007,100,249,570
B2BRSMON-0007,250,,535
B2BRSMON-0010,25,49,850
B2BRSMON-0010,50,99,790
B2BRSMON-0010,100,249,750
B2BRSMON-0010,250,,695
B2BRSMON-0053,25,49,850
B2BRSMON-0053,50,99,790
B2BRSMON-0053,100,249,750
B2BRSMON-0053,250,,695
B2BRSMON-0054,25,49,850
B2BRSMON-0054,50,99,790
B2BRSMON-0054,100,249,750
B2BRSMON-0054,250,,695
B2BRSMON-0057,25,49,750
B2BRSMON-0057,50,99,700
B2BRSMON-0057,100,249,660
B2BRSMON-0057,250,,615
B2BRSMON-0058,25,49,750
B2BRSMON-0058,50,99,700
B2BRSMON-0058,100,249,660
B2BRSMON-0058,250,,615
B2BRSMON-0061,25,49,750
B2BRSMON-0061,50,99,700
B2BRSMON-0061,100,249,660
B2BRSMON-0061,250,,615
B2BRSMON-0062,25,49,750
B2BRSMON-0062,50,99,700
B2BRSMON-0062,100,249,660
B2BRSMON-0062,250,,615
B2BRSMON-0063,25,49,750
B2BRSMON-0063,50,99,700
B2BRSMON-0063,100,249,660
B2BRSMON-0063,250,,615
B2BRSMON-0064,25,49,750
B2BRSMON-0064,50,99,700
B2BRSMON-0064,100,249,660
B2BRSMON-0064,250,,615
B2BRSMON-0065,25,49,1050
B2BRSMON-0065,50,99,975
B2BRSMON-0065,100,249,925
B2BRSMON-0065,250,,860
B2BRSMON-0066,25,49,1050
B2BRSMON-0066,50,99,975
B2BRSMON-0066,100,249,925
B2BRSMON-0066,250,,860
B2BRSMON-0067,25,49,1050
B2BRSMON-0067,50,99,975
B2BRSMON-0067,100,249,925
B2BRSMON-0067,250,,860
B2BRSMON-0080,25,49,2050
B2BRSMON-0080,50,99,1905
B2BRSMON-0080,100,249,1805
B2BRSMON-0080,250,,1680
B2BRSMON-0081,25,49,2250
B2BRSMON-0081,50,99,2090
B2BRSMON-0081,100,249,1980
B2BRSMON-0081,250,,1845
B2BRSMON-0082,25,49,2250
B2BRSMON-0082,50,99,2090
B2BRSMON-0082,100,249,1980
B2BRSMON-0082,250,,1845
B2BRSMON-0083,25,49,2250
B2BRSMON-0083,50,99,2090
B2BRSMON-0083,100,249,1980
B2BRSMON-0083,250,,1845
B2BRSMON-0084,25,49,2750
B2BRSMON-0084,50,99,2560
B2BRSMON-0084,100,249,2420
B2BRSMON-0084,250,,2255
B2BRSMON-0085,25,49,2350
B2BRSMON-0085,50,99,2185
B2BRSMON-0085,100,249,2070
B2BRSMON-0085,250,,1925
B2BRSMON-0086,25,49,3100
B2BRSMON-0086,50,99,2885
B2BRSMON-0086,100,249,2730
B2BRSMON-0086,250,,2540
B2BRSMON-0087,25,49,2850
B2BRSMON-0087,50,99,2650
B2BRSMON-0087,100,249,2510
B2BRSMON-0087,250,,2335
B2BRSMON-0088,25,49,2500
B2BRSMON-0088,50,99,2325
B2BRSMON-0088,100,249,2200
B2BRSMON-0088,250,,2050
B2BRSMON-0089,25,49,2500
B2BRSMON-0089,50,99,2325
B2BRSMON-0089,100,249,2200
B2BRSMON-0089,250,,2050
B2BRSMON-0090,25,49,2500
B2BRSMON-0090,50,99,2325
B2BRSMON-0090,100,249,2200
B2BRSMON-0090,250,,2050
B2BRSMON-0100,25,49,215
B2BRSMON-0100,50,99,200
B2BRSMON-0100,100,249,190
B2BRSMON-0100,250,,175
B2BRSMON-0101,25,49,250
B2BRSMON-0101,50,99,230
B2BRSMON-0101,100,249,220
B2BRSMON-0101,250,,205
B2BRSMON-0102,25,49,450
B2BRSMON-0102,50,99,420
B2BRSMON-0102,100,249,395
B2BRSMON-0102,250,,370
B2BRSMON-0103,25,49,450
B2BRSMON-0103,50,99,420
B2BRSMON-0103,100,249,395
B2BRSMON-0103,250,,370
B2BRSMON-0104,25,49,450
B2BRSMON-0104,50,99,420
B2BRSMON-0104,100,249,395
B2BRSMON-0104,250,,370
B2BRSMON-0105,25,49,650
B2BRSMON-0105,50,99,605
B2BRSMON-0105,100,249,570
B2BRSMON-0105,250,,535
B2BRSMON-0031,25,49,650
B2BRSMON-0031,50,99,605
B2BRSMON-0031,100,249,570
B2BRSMON-0031,250,,535
B2BRSMON-0106,25,49,1100
B2BRSMON-0106,50,99,1025
B2BRSMON-0106,100,249,970
B2BRSMON-0106,250,,900
B2BRSMON-0107,25,49,1350
B2BRSMON-0107,50,99,1255
B2BRSMON-0107,100,249,1190
B2BRSMON-0107,250,,1105
B2BRSMON-0108,25,49,950
B2BRSMON-0108,50,99,885
B2BRSMON-0108,100,249,835
B2BRSMON-0108,250,,780
B2BRSMON-0109,25,49,950
B2BRSMON-0109,50,99,885
B2BRSMON-0109,100,249,835
B2BRSMON-0109,250,,780
B2BRSMON-0110,25,49,950
B2BRSMON-0110,50,99,885
B2BRSMON-0110,100,249,835
B2BRSMON-0110,250,,780
B2BRSMON-0112,25,49,550
B2BRSMON-0112,50,99,510
B2BRSMON-0112,100,249,485
B2BRSMON-0112,250,,450
B2BRSMON-0034,25,49,650
B2BRSMON-0034,50,99,605
B2BRSMON-0034,100,249,570
B2BRSMON-0034,250,,535
B2BRSMON-0113,25,49,650
B2BRSMON-0113,50,99,605
B2BRSMON-0113,100,249,570
B2BRSMON-0113,250,,535
B2BRSMON-0114,25,49,650
B2BRSMON-0114,50,99,605
B2BRSMON-0114,100,249,570
B2BRSMON-0114,250,,535
B2BRSMON-0115,25,49,1100
B2BRSMON-0115,50,99,1025
B2BRSMON-0115,100,249,970
B2BRSMON-0115,250,,900
B2BRSMON-0116,25,49,1100
B2BRSMON-0116,50,99,1025
B2BRSMON-0116,100,249,970
B2BRSMON-0116,250,,900
B2BRSMON-0178,25,49,1100
B2BRSMON-0178,50,99,1025
B2BRSMON-0178,100,249,970
B2BRSMON-0178,250,,900
B2BRSMON-0179,25,49,1100
B2BRSMON-0179,50,99,1025
B2BRSMON-0179,100,249,970
B2BRSMON-0179,250,,900
B2BRSMON-0117,25,49,450
B2BRSMON-0117,50,99,420
B2BRSMON-0117,100,249,395
B2BRSMON-0117,250,,370
B2BRSMON-0118,25,49,1250
B2BRSMON-0118,50,99,1160
B2BRSMON-0118,100,249,1100
B2BRSMON-0118,250,,1025
B2BRSMON-0119,25,49,1450
B2BRSMON-0119,50,99,1350
B2BRSMON-0119,100,249,1275
B2BRSMON-0119,250,,1190
B2BRSMON-0120,25,49,950
B2BRSMON-0120,50,99,885
B2BRSMON-0120,100,249,835
B2BRSMON-0120,250,,780
B2BRSMON-0032,25,49,650
B2BRSMON-0032,50,99,605
B2BRSMON-0032,100,249,570
B2BRSMON-0032,250,,535
B2BRSMON-0122,10,19,1750
B2BRSMON-0122,20,39,1630
B2BRSMON-0122,40,99,1540
B2BRSMON-0122,100,,1435
B2BRSMON-0123,10,19,2850
B2BRSMON-0123,20,39,2650
B2BRSMON-0123,40,99,2510
B2BRSMON-0123,100,,2335
B2BRSMON-0127,10,19,3100
B2BRSMON-0127,20,39,2885
B2BRSMON-0127,40,99,2730
B2BRSMON-0127,100,,2540
B2BRSMON-0128,10,19,3250
B2BRSMON-0128,20,39,3020
B2BRSMON-0128,40,99,2860
B2BRSMON-0128,100,,2665
B2BRSMON-0129,10,19,650
B2BRSMON-0129,20,39,605
B2BRSMON-0129,40,99,570
B2BRSMON-0129,100,,535
B2BRSMON-0130,10,19,1990
B2BRSMON-0130,20,39,1850
B2BRSMON-0130,40,99,1750
B2BRSMON-0130,100,,1630
B2BRSMON-0131,10,19,2100
B2BRSMON-0131,20,39,1955
B2BRSMON-0131,40,99,1850
B2BRSMON-0131,100,,1720
B2BRSMON-0132,10,19,1780
B2BRSMON-0132,20,39,1655
B2BRSMON-0132,40,99,1565
B2BRSMON-0132,100,,1460
B2BRSMON-0133,10,19,2450
B2BRSMON-0133,20,39,2280
B2BRSMON-0133,40,99,2155
B2BRSMON-0133,100,,2010
B2BRSMON-0134,10,19,2450
B2BRSMON-0134,20,39,2280
B2BRSMON-0134,40,99,2155
B2BRSMON-0134,100,,2010
B2BRSMON-0136,10,19,8200
B2BRSMON-0136,20,39,7625
B2BRSMON-0136,40,99,7215
B2BRSMON-0136,100,,6725
B2BRSMON-0137,10,19,8100
B2BRSMON-0137,20,39,7535
B2BRSMON-0137,40,99,7130
B2BRSMON-0137,100,,6640
B2BRSMON-0138,10,19,275
B2BRSMON-0138,20,39,255
B2BRSMON-0138,40,99,240
B2BRSMON-0138,100,,225
B2BRSMON-0144,10,19,375
B2BRSMON-0144,20,39,350
B2BRSMON-0144,40,99,330
B2BRSMON-0144,100,,310
B2BRSMON-0139,10,19,285
B2BRSMON-0139,20,39,265
B2BRSMON-0139,40,99,250
B2BRSMON-0139,100,,235
B2BRSMON-0140,10,19,285
B2BRSMON-0140,20,39,265
B2BRSMON-0140,40,99,250
B2BRSMON-0140,100,,235
B2BRSMON-0142,10,19,285
B2BRSMON-0142,20,39,265
B2BRSMON-0142,40,99,250
B2BRSMON-0142,100,,235
B2BRSMON-0143,10,19,285
B2BRSMON-0143,20,39,265
B2BRSMON-0143,40,99,250
B2BRSMON-0143,100,,235
B2BRSMON-0145,25,49,485
B2BRSMON-0145,50,99,450
B2BRSMON-0145,100,249,425
B2BRSMON-0145,250,,400
B2BRSMON-0146,25,49,75
B2BRSMON-0146,50,99,70
B2BRSMON-0146,100,249,65
B2BRSMON-0146,250,,60
B2BRSMON-0147,25,49,75
B2BRSMON-0147,50,99,70
B2BRSMON-0147,100,249,65
B2BRSMON-0147,250,,60
B2BRSMON-0148,25,49,75
B2BRSMON-0148,50,99,70
B2BRSMON-0148,100,249,65
B2BRSMON-0148,250,,60
B2BRSMON-0149,25,49,75
B2BRSMON-0149,50,99,70
B2BRSMON-0149,100,249,65
B2BRSMON-0149,250,,60
B2BRSMON-0150,25,49,550
B2BRSMON-0150,50,99,510
B2BRSMON-0150,100,249,485
B2BRSMON-0150,250,,450
B2BRSMON-0151,25,49,650
B2BRSMON-0151,50,99,605
B2BRSMON-0151,100,249,570
B2BRSMON-0151,250,,535
B2BRSMON-0152,25,49,75
B2BRSMON-0152,50,99,70
B2BRSMON-0152,100,249,65
B2BRSMON-0152,250,,60
B2BRSMON-0154,25,49,115
B2BRSMON-0154,50,99,105
B2BRSMON-0154,100,249,100
B2BRSMON-0154,250,,95
B2BRSMON-0153,25,49,95
B2BRSMON-0153,50,99,90
B2BRSMON-0153,100,249,85
B2BRSMON-0153,250,,80
B2BRSMON-0038,25,49,95
B2BRSMON-0038,50,99,90
B2BRSMON-0038,100,249,85
B2BRSMON-0038,250,,80
B2BRSMON-0155,50,99,250
B2BRSMON-0155,100,199,230
B2BRSMON-0155,200,499,220
B2BRSMON-0155,500,,205
B2BRSMON-0156,50,99,250
B2BRSMON-0156,100,199,230
B2BRSMON-0156,200,499,220
B2BRSMON-0156,500,,205
B2BRSMON-0157,50,99,250
B2BRSMON-0157,100,199,230
B2BRSMON-0157,200,499,220
B2BRSMON-0157,500,,205
B2BRSMON-0158,50,99,250
B2BRSMON-0158,100,199,230
B2BRSMON-0158,200,499,220
B2BRSMON-0158,500,,205
B2BRSMON-0159,50,99,250
B2BRSMON-0159,100,199,230
B2BRSMON-0159,200,499,220
B2BRSMON-0159,500,,205
B2BRSMON-0160,50,99,130
B2BRSMON-0160,100,199,120
B2BRSMON-0160,200,499,115
B2BRSMON-0160,500,,105
B2BRSMON-0161,50,99,130
B2BRSMON-0161,100,199,120
B2BRSMON-0161,200,499,115
B2BRSMON-0161,500,,105
B2BRSMON-0162,50,99,130
B2BRSMON-0162,100,199,120
B2BRSMON-0162,200,499,115
B2BRSMON-0162,500,,105
B2BRSMON-0163,50,99,130
B2BRSMON-0163,100,199,120
B2BRSMON-0163,200,499,115
B2BRSMON-0163,500,,105
B2BRSMON-0164,50,99,130
B2BRSMON-0164,100,199,120
B2BRSMON-0164,200,499,115
B2BRSMON-0164,500,,105
B2BRSMON-0165,50,99,140
B2BRSMON-0165,100,199,130
B2BRSMON-0165,200,499,125
B2BRSMON-0165,500,,115
B2BRSMON-0166,50,99,35
B2BRSMON-0166,100,199,35
B2BRSMON-0166,200,499,30
B2BRSMON-0166,500,,30
B2BRSMON-0167,50,99,35
B2BRSMON-0167,100,199,35
B2BRSMON-0167,200,499,30
B2BRSMON-0167,500,,30
B2BRSMON-0168,50,99,35
B2BRSMON-0168,100,199,35
B2BRSMON-0168,200,499,30
B2BRSMON-0168,500,,30
B2BRSMON-0169,50,99,180
B2BRSMON-0169,100,199,165
B2BRSMON-0169,200,499,160
B2BRSMON-0169,500,,150
B2BRSMON-0170,50,99,840
B2BRSMON-0170,100,199,780
B2BRSMON-0170,200,499,740
B2BRSMON-0170,500,,690
B2BRSMON-0171,50,99,840
B2BRSMON-0171,100,199,780
B2BRSMON-0171,200,499,740
B2BRSMON-0171,500,,690
B2BRSMON-0050,50,99,840
B2BRSMON-0050,100,199,780
B2BRSMON-0050,200,499,740
B2BRSMON-0050,500,,690
B2BRSMON-0172,50,99,745
B2BRSMON-0172,100,199,695
B2BRSMON-0172,200,499,655
B2BRSMON-0172,500,,610
B2BRSMON-0173,50,99,745
B2BRSMON-0173,100,199,695
B2BRSMON-0173,200,499,655
B2BRSMON-0173,500,,610
B2BRSMON-0174,50,99,745
B2BRSMON-0174,100,199,695
B2BRSMON-0174,200,499,655
B2BRSMON-0174,500,,610
B2BRSMON-0175,50,99,650
B2BRSMON-0175,100,199,605
B2BRSMON-0175,200,499,570
B2BRSMON-0175,500,,535
B2BRSMON-0176,50,99,650
B2BRSMON-0176,100,199,605
B2BRSMON-0176,200,499,570
B2BRSMON-0176,500,,535
B2BRSMON-0177,50,99,650
B2BRSMON-0177,100,199,605
B2BRSMON-0177,200,499,570
B2BRSMON-0177,500,,535
B2BRSMON-0047,50,99,275
B2BRSMON-0047,100,199,255
B2BRSMON-0047,200,499,240
B2BRSMON-0047,500,,225
B2BRSMON-0048,50,99,30
B2BRSMON-0048,100,199,30
B2BRSMON-0048,200,499,25
B2BRSMON-0048,500,,25
